target,window,key,donor_r,status,Tc,moment_err
AsZr,all,2,1.7162466041892894,ok,8.813453702942589,3.852562713291263e-11
AsZr,all,404,1.0354218994671103,tilt_failed,,
AsZr,all,491,1.2202170726462003,ok,8.818519391439345,1.0413891970983968e-13
AsZr,all,633,1.3835459500754543,ok,8.856150220272404,5.417888360170764e-14
AsZr,all,438,1.079207962602121,tilt_failed,,
AsZr,all,185,1.3619305641256603,ok,8.789572600029299,2.7755575615628914e-15
AsZr,all,801,1.2236251517407148,ok,8.804769665519576,8.280265362259343e-12
AsZr,all,595,1.1108004815198855,tilt_failed,,
AsZr,all,217,1.166656266846943,ok,8.827203428862358,1.872946242542639e-12
AsZr,all,326,1.2148807908770896,ok,8.809835354016332,2.220446049250313e-16
AsZr,all,668,1.2798428607989982,ok,8.812006363372085,3.4324765252335965e-12
AsZr,all,620,1.1571634233029482,tilt_failed,,
AsZr,all,435,1.7627691213210244,ok,8.832992787144367,1.779068004026385e-10
AsZr,all,457,1.0850011837940292,tilt_failed,,
AsZr,all,464,1.0700449619782797,tilt_failed,,
AsZr,all,257,1.2394352500850188,ok,8.796085628096563,3.7074548986382183e-09
AsZr,all,15,1.1274910127681486,tilt_failed,,
AsZr,all,107,1.081495084123776,tilt_failed,,
AsZr,all,52,1.3362714590165126,ok,8.796085628096563,2.0865753569410117e-11
AsZr,all,367,1.2983283167696047,ok,8.792467279170303,1.1102230246251565e-15
AsZr,all,562,1.0504659159101686,tilt_failed,,
AsZr,all,213,1.5349021026957292,ok,8.849637192205144,1.0357004143202175e-10
AsZr,all,116,1.333078688177768,ok,8.796085628096563,6.938005725487528e-12
